Time:250Hz,Epoch,FP1,FP2,Event Id,Event Date,Event Duration
0.0000000000,0,-48325.0000000000,59551.0000000000,,,
0.0040000000,0,-47390.0000000000,60282.0000000000,,,
0.0079999999,0,-47322.0000000000,61068.0000000000,,,
0.0119999999,0,-48054.0000000000,61795.0000000000,,,
0.0159999998,0,-47483.0000000000,62465.0000000000,,,
0.0199999998,0,-48479.0000000000,63193.0000000000,,,
0.0240000000,0,-47405.0000000000,63982.0000000000,,,
0.0279999999,0,-48346.0000000000,64714.0000000000,,,
0.0319999999,0,-47213.0000000000,65388.0000000000,,,
0.0359999998,0,-48301.0000000000,66113.0000000000,,,
0.0399999998,0,-47401.0000000000,66882.0000000000,,,
0.0440000000,0,-48352.0000000000,67636.0000000000,,,
0.0480000000,0,-47049.0000000000,68312.0000000000,,,
0.0519999999,0,-47396.0000000000,69005.0000000000,,,
0.0559999999,0,-47265.0000000000,69790.0000000000,,,
0.0599999998,0,-48800.0000000000,70558.0000000000,,,
0.0639999998,0,-47774.0000000000,71250.0000000000,,,
0.0680000000,0,-48006.0000000000,71934.0000000000,,,
0.0719999999,0,-50665.0000000000,72722.0000000000,,,
0.0759999999,0,-47560.0000000000,73469.0000000000,,,
0.0799999998,0,-47566.0000000000,74178.0000000000,,,
0.0839999998,0,-47830.0000000000,74855.0000000000,,,
0.0880000000,0,-49014.0000000000,75618.0000000000,,,
0.0919999999,0,-48474.0000000000,76389.0000000000,,,
0.0959999999,0,-48306.0000000000,77105.0000000000,,,
0.0999999999,0,-48270.0000000000,77773.0000000000,,,
0.1039999998,0,-48143.0000000000,78516.0000000000,,,
0.1079999998,0,-48419.0000000000,79302.0000000000,,,
0.1120000000,0,-47613.0000000000,80016.0000000000,,,
0.1159999999,0,-48476.0000000000,80692.0000000000,,,
0.1199999999,0,-48507.0000000000,81415.0000000000,,,
0.1239999998,0,-49203.0000000000,82206.0000000000,,,
0.1279999998,1,-47820.0000000000,82932.0000000000,,,
0.1319999998,1,-49121.0000000000,83617.0000000000,,,
0.1359999997,1,-48495.0000000000,84317.0000000000,,,
0.1399999997,1,-49363.0000000000,85117.0000000000,,,
0.1439999996,1,-49611.0000000000,85872.0000000000,,,
0.1479999996,1,-48728.0000000000,86554.0000000000,,,
0.1519999998,1,-46838.0000000000,87235.0000000000,,,
0.1559999997,1,-47616.0000000000,88030.0000000000,,,
0.1599999997,1,-49156.0000000000,88808.0000000000,,,
0.1639999996,1,-49346.0000000000,89520.0000000000,,,
0.1679999996,1,-49541.0000000000,90213.0000000000,,,
0.1719999998,1,-49916.0000000000,90992.0000000000,,,
0.1759999997,1,-49002.0000000000,91770.0000000000,,,
0.1799999997,1,-48296.0000000000,92488.0000000000,,,
0.1839999997,1,-47476.0000000000,93170.0000000000,,,
0.1879999996,1,-48352.0000000000,93938.0000000000,,,
0.1919999996,1,-48801.0000000000,94738.0000000000,,,
0.1959999998,1,-48525.0000000000,95456.0000000000,,,
0.1999999997,1,-48422.0000000000,96143.0000000000,,,
0.2039999997,1,-48312.0000000000,96900.0000000000,,,
0.2079999996,1,-49157.0000000000,97704.0000000000,,,
0.2119999996,1,-49215.0000000000,98444.0000000000,,,
0.2159999998,1,-48186.0000000000,99133.0000000000,,,
0.2199999997,1,-47917.0000000000,99873.0000000000,,,
0.2239999997,1,-48536.0000000000,100686.0000000000,,,
0.2279999997,1,-48659.0000000000,101442.0000000000,,,
0.2319999996,1,-48748.0000000000,102155.0000000000,,,
0.2359999996,1,-48606.0000000000,102876.0000000000,,,
0.2399999998,1,-48231.0000000000,103688.0000000000,,,
0.2439999997,1,-47614.0000000000,104452.0000000000,,,
0.2479999997,1,-47833.0000000000,105173.0000000000,,,
0.2519999996,1,-49126.0000000000,105905.0000000000,,,
0.2559999996,2,-48029.0000000000,106693.0000000000,,,
0.2599999995,2,-47519.0000000000,107478.0000000000,,,
0.2639999995,2,-47950.0000000000,108217.0000000000,,,
0.2679999995,2,-47142.0000000000,108920.0000000000,,,
0.2719999994,2,-48007.0000000000,109733.0000000000,,,
0.2759999994,2,-47021.0000000000,110530.0000000000,,,
0.2799999996,2,-48794.0000000000,111292.0000000000,,,
0.2839999995,2,-47386.0000000000,111991.0000000000,,,
0.2879999995,2,-46982.0000000000,112780.0000000000,,,
0.2919999994,2,-47012.0000000000,113600.0000000000,,,
0.2959999994,2,-48372.0000000000,114368.0000000000,,,
0.2999999996,2,-48135.0000000000,115082.0000000000,,,
0.3039999995,2,-48048.0000000000,115864.0000000000,,,
0.3079999995,2,-48197.0000000000,116688.0000000000,,,
0.3119999995,2,-47217.0000000000,117451.0000000000,,,
0.3159999994,2,-49492.0000000000,118197.0000000000,,,
0.3199999994,2,-47453.0000000000,118939.0000000000,,,
0.3239999996,2,-49034.0000000000,119783.0000000000,,,
0.3279999995,2,-47280.0000000000,120551.0000000000,,,
0.3319999995,2,-47068.0000000000,121283.0000000000,,,
0.3359999994,2,-46663.0000000000,122028.0000000000,,,
0.3399999994,2,-47020.0000000000,122860.0000000000,,,
0.3439999996,2,-47813.0000000000,123666.0000000000,,,
0.3479999995,2,-47246.0000000000,124400.0000000000,,,
0.3519999995,2,-47410.0000000000,125139.0000000000,,,
0.3559999994,2,-46206.0000000000,125951.0000000000,,,
0.3599999994,2,-45588.0000000000,126756.0000000000,,,
0.3639999994,2,-47929.0000000000,127530.0000000000,,,
0.3679999996,2,-47839.0000000000,128259.0000000000,,,
0.3719999995,2,-48646.0000000000,129079.0000000000,,,
0.3759999995,2,-48334.0000000000,129905.0000000000,,,
0.3799999994,2,-48855.0000000000,130675.0000000000,,,
0.3839999994,3,-48032.0000000000,131398.0000000000,,,
0.3879999993,3,-48545.0000000000,132214.0000000000,,,
0.3919999993,3,-48337.0000000000,133053.0000000000,,,
0.3959999993,3,-48928.0000000000,133841.0000000000,,,
0.3999999992,3,-48579.0000000000,134575.0000000000,,,
0.4039999992,3,-47982.0000000000,135368.0000000000,,,
0.4079999994,3,-48283.0000000000,136225.0000000000,,,
0.4119999993,3,-47206.0000000000,137006.0000000000,,,
0.4159999993,3,-48891.0000000000,137764.0000000000,,,
0.4199999992,3,-47452.0000000000,138531.0000000000,,,
0.4239999992,3,-47988.0000000000,139393.0000000000,,,
0.4279999994,3,-47487.0000000000,140192.0000000000,,,
0.4319999993,3,-47309.0000000000,140946.0000000000,,,
0.4359999993,3,-47114.0000000000,141718.0000000000,,,
0.4399999992,3,-47680.0000000000,142571.0000000000,,,
0.4439999992,3,-48751.0000000000,143407.0000000000,,,
0.4479999992,3,-48356.0000000000,144166.0000000000,,,
0.4519999993,3,-46638.0000000000,144913.0000000000,,,
0.4559999993,3,-47196.0000000000,145763.0000000000,,,
0.4599999993,3,-47349.0000000000,146606.0000000000,,,
0.4639999992,3,-49411.0000000000,147408.0000000000,,,
0.4679999992,3,-50310.0000000000,148167.0000000000,,,
0.4719999994,3,-48675.0000000000,148994.0000000000,,,
0.4759999993,3,-48607.0000000000,149850.0000000000,,,
0.4799999993,3,-48838.0000000000,150645.0000000000,,,
0.4839999992,3,-48591.0000000000,151397.0000000000,,,
0.4879999992,3,-48738.0000000000,152235.0000000000,,,
0.4919999992,3,-48177.0000000000,153095.0000000000,,,
0.4959999993,3,-48571.0000000000,153901.0000000000,,,
0.4999999993,3,-47320.0000000000,154647.0000000000,,,
0.5039999993,3,-46568.0000000000,155462.0000000000,,,
0.5079999992,3,-46873.0000000000,156331.0000000000,,,
0.5119999992,4,-46808.0000000000,157142.0000000000,,,
0.5159999991,4,-49131.0000000000,157924.0000000000,,,
0.5199999991,4,-48081.0000000000,158712.0000000000,,,
0.5239999990,4,-48404.0000000000,159579.0000000000,,,
0.5279999990,4,-48410.0000000000,160410.0000000000,,,
0.5319999990,4,-46990.0000000000,161166.0000000000,,,
0.5359999991,4,-47008.0000000000,161951.0000000000,,,
0.5399999991,4,-47052.0000000000,162824.0000000000,,,
0.5439999991,4,-46369.0000000000,163658.0000000000,,,
0.5479999990,4,-47221.0000000000,164449.0000000000,,,
0.5519999990,4,-47824.0000000000,165234.0000000000,,,
0.5559999992,4,-47175.0000000000,166090.0000000000,,,
0.5599999991,4,-47306.0000000000,166953.0000000000,,,
