features,label,directory
"[0.0, 0.018245445078984415, 0.011331556159971747, 0.10281797002820696, 0.44117103473512365, 1.0, 0.9201125603668773, 0.9571319475738068, 0.9656807486047976, 0.9463629788126975, 0.9969009338938991, 0.996628864393623, 1317.8624762718391, 65.91163229210292, 33.314123808069226, 21.474131610765298, 16.341701649544742, 12.705035326700715, 10.925245832676481, 8.799768157490888, 8.68231794423739, 6.3983822455793735, 6.282432461697919, 5.773685029589074, 5.509919020907272, 730.076626130041, 67.46900337942762, 33.26471704849432, 21.98607405008444, 16.375830111813602, 12.737779785241681, 10.85252000268515, 9.186253097918915, 7.91741002588097, 6.989895761810901, 6.135201539797203, 5.522867115284749, 5.409559533166155]",bitter,EUReCA - dietary eeg
"[0.0001363964306364156, 0.04952257064569962, 0.0, 0.044658635862152345, 0.38955108842375125, 1.0, 0.9578293693010955, 0.9974722403688804, 0.972898444731739, 0.9616469965200094, 0.9907533567736042, 0.9981405427966435, 1317.7163600832123, 66.37852742177938, 32.644966457003896, 22.008141234835612, 17.184308314475956, 11.586106869702654, 11.53864318433874, 8.522390056855098, 8.276612838111918, 7.276741593311697, 5.9370814500415925, 5.466960482508636, 5.023328155095131, 729.984267271671, 67.55922117908861, 33.18468427437996, 21.83234305631936, 16.31185267317882, 13.29152331203801, 10.58487206649118, 8.898326504694127, 8.031760110222578, 7.033094564180649, 5.954529701360675, 5.701524320445749, 5.36404052534621]",bitter,EUReCA - dietary eeg
"[0.04864629655081797, 0.07576346607239791, 0.0, 0.050560128015361756, 0.5064945212120006, 1.0, 0.9419028939445978, 0.9847681325458362, 0.841678673339658, 0.9966224017646004, 0.9985944125726949, 0.999787421411912, 1319.6257952705118, 64.56051104303296, 33.197502045912586, 22.063868868220645, 17.162616031591234, 12.689224682430789, 12.131114518212879, 6.950827657847496, 7.204155177545786, 7.156276358521003, 5.902639218896116, 5.622007115932533, 5.422403079247318, 730.2831057754979, 67.37983807223341, 32.931479883283586, 22.12363952463047, 16.53855725924472, 12.980202718163664, 10.600243716372704, 9.068838715099933, 8.045793508688233, 6.772534158343978, 6.193802033078574, 5.904323929654559, 5.075847357277118]",bitter,EUReCA - dietary eeg
"[0.0319154785584337, 0.04383846588504286, 0.0, 0.0743676830434857, 0.5026488155721472, 1.0, 0.9731722637997274, 0.9420868953388847, 0.986749616849119, 0.9861185399739866, 0.9945579693376013, 0.9994164558236147, 1317.495403219413, 66.51312749033468, 33.81738642625416, 22.600255157724433, 15.926201491283381, 12.774848454747811, 11.527517156377034, 7.80599910481943, 8.378225812289243, 5.542349639453019, 6.153676990309874, 5.746638601383772, 4.42497825725764, 729.9065763787339, 67.61926355933498, 33.292146347172306, 21.999372798707597, 15.779944405007607, 13.072776631380677, 11.06045266000789, 8.789839904630707, 8.144875778207819, 6.894002348273746, 6.379944436541416, 5.552673459576679, 5.358170466270337]",bitter,EUReCA - dietary eeg
"[0.04781492873819967, 0.05744082734290464, 0.0, 0.0714811506317669, 0.43433982328861603, 1.0, 0.9506249283604199, 0.9602506567203205, 0.9962063381119503, 0.9965181812046507, 0.9976356440054889, 0.9955376862806797, 1317.7995650719151, 66.87292603269712, 32.32620759267648, 22.105178989904935, 16.15904527469693, 13.752847908378197, 9.581410010785383, 8.958369347167716, 8.06810697298275, 7.165636581326806, 6.66357593941465, 5.7190987597679985, 5.9228112407908275, 729.6395302597258, 68.07361039573637, 33.18495626731577, 21.548077340958145, 16.42821824105193, 12.76212020242192, 10.743856179220247, 9.128438355543677, 7.964951683700233, 7.0445118031811536, 6.196327042760786, 5.802726888069661, 5.244727414931575]",bitter,EUReCA - dietary eeg
"[0.057612831860523406, 0.08900025490924206, 0.0, 0.09429672427835997, 0.4434456040080889, 1.0, 0.8628832240068284, 0.9931167876793203, 0.9921559660604171, 0.9724810994403378, 0.997923532323247, 0.9952913853919197, 1318.0699933683843, 66.15999431776461, 34.4896374004116, 21.569292532316673, 17.026308814374495, 11.711423282178245, 11.387437345228182, 7.968186998969743, 7.68477544635558, 6.751151499501752, 6.169166646185856, 5.177252237211603, 5.795329351849876, 729.6847900821828, 67.7129421040819, 33.77295137730336, 21.563504180592144, 16.272421828674656, 12.902887433929449, 10.6879096247701, 8.904221419597912, 7.768186512496388, 7.413088795494582, 5.798861005043561, 5.977365795480256, 4.9750465767423915]",bitter,EUReCA - dietary eeg
"[0.0, 0.029072766079096816, 0.008259089948703212, 0.08969032153193583, 0.5466142444241101, 1.0, 0.9529105009194523, 0.9661496369884858, 0.9470268520047893, 0.9507957110536897, 0.980398215975374, 0.9990940529246335, 1316.9168428791047, 67.68697478392215, 32.621078704669046, 21.959173518448985, 16.080843967686764, 12.188668018944604, 11.07995818145686, 9.268909873077021, 8.020928783835497, 7.984601126198232, 4.828710356114982, 5.216830567269824, 4.901603797519783, 729.7482075461245, 67.5994031202977, 33.525515393414025, 21.997211727923776, 16.257564553527004, 13.085468782662872, 10.557220423729873, 9.089937509789054, 7.817832185157146, 6.946854581010998, 6.402668379344998, 5.404819423859132, 4.989191341713756]",bitter,EUReCA - dietary eeg
"[0.011932054383395693, 0.01669733635746336, 0.0, 0.06749265133132132, 0.4710577140902284, 1.0, 0.9858851865187878, 0.9850737559860022, 0.9799957214926887, 0.9935010885638573, 0.9976645154174025, 0.9959533790166258, 1319.0609315252116, 65.49871406051992, 32.42212328271425, 22.092499367286955, 16.465627612310286, 12.75680615953933, 9.817926784420505, 10.341816857241641, 7.661868100220048, 6.36903350786279, 7.399748158986248, 5.355199445806261, 5.909442171985594, 729.4086610043621, 67.45355010835175, 33.89964148618803, 21.560062322563397, 16.358364685895754, 12.897416551244376, 10.646713583731401, 9.275681998314546, 8.0143863833677, 6.638945763606708, 6.427536531094545, 5.541640834949741, 5.3720445575446405]",bitter,EUReCA - dietary eeg
"[0.044160381875470785, 0.02005367249418017, 0.0, 0.10958353995579635, 0.47905156436015195, 1.0, 0.9986294109175788, 0.9825268634362228, 0.9857406311330831, 0.9552924497275881, 0.9929018940662059, 0.9966752471282172, 1318.458712939452, 65.90972750308228, 32.89551609114862, 21.578358076330204, 17.047721117723718, 12.093420902858593, 10.869547790661159, 8.615911289429127, 8.182653288862479, 7.136520218415906, 6.110886603291645, 5.833964210809748, 5.490032631586294, 729.589835458055, 67.6968370237953, 33.21195660965805, 21.88483578733959, 16.398204842458497, 12.67994009636746, 10.958452349503634, 8.877080420841281, 7.803537379824668, 7.311783097630878, 6.162941774525066, 5.952903783790433, 4.542340114787536]",bitter,EUReCA - dietary eeg
"[0.04873721628208655, 0.05223490421150422, 0.0, 0.10730428215129838, 0.4755292099291752, 1.0, 0.9709212700304805, 0.970588616680391, 0.9850490938942248, 0.9343795743409379, 0.996521538197198, 0.9907083617506789, 1317.2892347164363, 66.74063470507662, 33.77139127047148, 21.528697270128717, 16.88346255504902, 13.178828446123733, 10.217142847685775, 9.100698347159598, 9.120276768911024, 5.2859691379518985, 5.939377561171302, 5.142712000285424, 4.871087466376203, 730.2020053353583, 67.10581465430937, 33.396251698541384, 22.030863383003677, 16.263367679231983, 13.005121649990864, 10.757940166721575, 8.769233982300364, 8.26253786303803, 6.6711215047773, 6.48742942801206, 5.6351464872105925, 5.013900043158457]",bitter,EUReCA - dietary eeg
